Affy Probe Id,Gene,Ensembl gene ID,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,
215807_s_at,PLXNB1,ENSG00000164050,15180,2662.1019,-2.38684,0.002,1.00E-04,
202205_at,VASP,ENSG00000125753,1733,2672.5677,-2.27821,0.002,1.00E-04,
216032_s_at,ERGIC3,ENSG00000125991,15404,2679.652,-2.46588,0.0021,1.00E-04,
221504_s_at,ATP6V1H,ENSG00000047249,20867,2685.4837,-2.38965,0.0021,1.00E-04,
203935_at,ACVR1,ENSG00000115170,3462,2686.4522,-2.49545,0.0021,1.00E-04,
214004_s_at,VGLL4,ENSG00000144560,13383,2690.2984,-2.38403,0.0022,1.00E-04,
203181_x_at,SRPK2,ENSG00000135250,2709,2690.5556,-2.27237,0.0022,1.00E-04,
211928_at,DYNC1H1,ENSG00000197102,11316,2694.935,-2.20916,0.0022,1.00E-04,
212900_at,SEC24A,ENSG00000113615,12285,2696.2887,-2.51612,0.0022,1.00E-04,
219440_at,RAI2,ENSG00000131831,18804,2697.3484,-2.25355,0.0022,1.00E-04,
210849_s_at,VPS41,ENSG00000006715,10309,2697.7479,-2.51734,0.0022,1.00E-04,
202964_s_at,RFX5,ENSG00000143390,2493,2698.1098,-2.24124,0.0022,1.00E-04,
221473_x_at,SERINC3,ENSG00000132824,20836,2700.0621,-2.36248,0.0022,1.00E-04,
212647_at,RRAS,ENSG00000126458,12032,2700.7869,-2.27931,0.0022,1.00E-04,
202170_s_at,AASDHPPT,ENSG00000149313,1698,2702.2544,-2.23101,0.0022,1.00E-04,
203756_at,ARHGEF17,ENSG00000110237,3283,2703.1399,-2.27868,0.0022,1.00E-04,
220757_s_at,UBXN6,ENSG00000167671,20121,2705.2131,-2.32318,0.0023,1.00E-04,
213811_x_at,TCF3,ENSG00000071564,13191,2707.891,-2.21238,0.0023,1.00E-04,
202262_x_at,DDAH2,ENSG00000213722,1790,2712.6021,-2.32624,0.0023,1.00E-04,
212090_at,GRINA,ENSG00000178719,11476,2713.1731,-2.30537,0.0023,1.00E-04,
204908_s_at,BCL3,ENSG00000069399,4435,2714.2933,-2.50064,0.0023,1.00E-04,
43544_at,MED16,ENSG00000175221,21994,2717.1337,-2.29835,0.0023,1.00E-04,
213236_at,SASH1,ENSG00000111961,12618,2719.3525,-2.78678,0.0024,1.00E-04,
201190_s_at,PITPNA,ENSG00000174238,718,2719.9538,-2.49735,0.0024,1.00E-04,
